;此文本为主宰令世界地图的传送点,最多支持40个传送点,地图名不可重复
;地图名(不可重复) 地图ID X坐标 Y坐标 显示X坐标 显示Y坐标
天庭 0122 20 33 40 117
苍月岛 5 140 338 128 131
酒馆 0170 13 20 40 147
白日门 11 163 332 109 205
盟重 3 333 335 203 214
祖玛大厅 0157 17 18 283 203
封魔谷 4 241 202 40 241
;地下宫殿 DM002A 15 20 175 243
沙巴克 3 646 292 241 245
沃玛寺庙 D021 27 34 117 278
比奇 0 328 270 138 311
毒蛇山谷 2 296 58 223 305
魔龙城 6 122 158 303 297
边界村 0 291 618 143 346
庄园 GA0 69 72 40 318
;主宰领域 D1004 15 20 40 344
;个人领域 D1004 29 34 40 370
狐月山 FOX02 47 83 228 95
神龙帝国 sldg 258 320 204 372
血池一层 xc1 113 208 287 372
爱拼传奇 apcq 325 325 248 176
