;物品拆解配置文件
;拆解材料 获得物品(支持8个材料,用","分隔)
;------------------------------------------------
五级神圣抗性石	五级神圣真气石,五级抗性真气石
六级神圣抗性石	六级神圣真气石,六级抗性真气石
七级神圣抗性石	七级神圣真气石,七级抗性真气石
八级神圣抗性石	八级神圣真气石,八级抗性真气石
九级神圣抗性石	九级神圣真气石,九级抗性真气石
十级神圣抗性石	十级神圣真气石,十级抗性真气石

五级神圣内力石	五级神圣真气石,五级内力真气石
六级神圣内力石	六级神圣真气石,六级内力真气石
七级神圣内力石	七级神圣真气石,七级内力真气石
八级神圣内力石	八级神圣真气石,八级内力真气石
九级神圣内力石	九级神圣真气石,九级内力真气石
十级神圣内力石	十级神圣真气石,十级内力真气石

五级神圣十步石	五级神圣真气石,五级十步真气石
六级神圣十步石	六级神圣真气石,六级十步真气石
七级神圣十步石	七级神圣真气石,七级十步真气石
八级神圣十步石	八级神圣真气石,八级十步真气石
九级神圣十步石	九级神圣真气石,九级十步真气石
十级神圣十步石	十级神圣真气石,十级十步真气石

五级神圣天雷石	五级神圣真气石,五级天雷真气石
六级神圣天雷石	六级神圣真气石,六级天雷真气石
七级神圣天雷石	七级神圣真气石,七级天雷真气石
八级神圣天雷石	八级神圣真气石,八级天雷真气石
九级神圣天雷石	九级神圣真气石,九级天雷真气石
十级神圣天雷石	十级神圣真气石,十级天雷真气石

五级神圣回天石	五级神圣真气石,五级回天真气石
六级神圣回天石	六级神圣真气石,六级回天真气石
七级神圣回天石	七级神圣真气石,七级回天真气石
八级神圣回天石	八级神圣真气石,八级回天真气石
九级神圣回天石	九级神圣真气石,九级回天真气石
十级神圣回天石	十级神圣真气石,十级回天真气石

五级神圣嗜血石	五级神圣真气石,五级嗜血真气石
六级神圣嗜血石	六级神圣真气石,六级嗜血真气石
七级神圣嗜血石	七级神圣真气石,七级嗜血真气石
八级神圣嗜血石	八级神圣真气石,八级嗜血真气石
九级神圣嗜血石	九级神圣真气石,九级嗜血真气石
十级神圣嗜血石	十级神圣真气石,十级嗜血真气石

五级神圣复仇石	五级神圣真气石,五级复仇真气石
六级神圣复仇石	六级神圣真气石,六级复仇真气石
七级神圣复仇石	七级神圣真气石,七级复仇真气石
八级神圣复仇石	八级神圣真气石,八级复仇真气石
九级神圣复仇石	九级神圣真气石,九级复仇真气石
十级神圣复仇石	十级神圣真气石,十级复仇真气石

五级神圣毁灭石	五级神圣真气石,五级毁灭真气石
六级神圣毁灭石	六级神圣真气石,六级毁灭真气石
七级神圣毁灭石	七级神圣真气石,七级毁灭真气石
八级神圣毁灭石	八级神圣真气石,八级毁灭真气石
九级神圣毁灭石	九级神圣真气石,九级毁灭真气石
十级神圣毁灭石	十级神圣真气石,十级毁灭真气石

五级神圣刃扇石	五级神圣真气石,五级刃扇真气石
六级神圣刃扇石	六级神圣真气石,六级刃扇真气石
七级神圣刃扇石	七级神圣真气石,七级刃扇真气石
八级神圣刃扇石	八级神圣真气石,八级刃扇真气石
九级神圣刃扇石	九级神圣真气石,九级刃扇真气石
十级神圣刃扇石	十级神圣真气石,十级刃扇真气石

;----------------------------------
五级抗性神圣石	五级抗性真气石,五级神圣真气石
六级抗性神圣石	六级抗性真气石,六级神圣真气石
七级抗性神圣石	七级抗性真气石,七级神圣真气石
八级抗性神圣石	八级抗性真气石,八级神圣真气石
九级抗性神圣石	九级抗性真气石,九级神圣真气石
十级抗性神圣石	十级抗性真气石,十级神圣真气石

五级抗性内力石	五级抗性真气石,五级内力真气石
六级抗性内力石	六级抗性真气石,六级内力真气石
七级抗性内力石	七级抗性真气石,七级内力真气石
八级抗性内力石	八级抗性真气石,八级内力真气石
九级抗性内力石	九级抗性真气石,九级内力真气石
十级抗性内力石	十级抗性真气石,十级内力真气石

五级抗性十步石	五级抗性真气石,五级十步真气石
六级抗性十步石	六级抗性真气石,六级十步真气石
七级抗性十步石	七级抗性真气石,七级十步真气石
八级抗性十步石	八级抗性真气石,八级十步真气石
九级抗性十步石	九级抗性真气石,九级十步真气石
十级抗性十步石	十级抗性真气石,十级十步真气石

五级抗性天雷石	五级抗性真气石,五级天雷真气石
六级抗性天雷石	六级抗性真气石,六级天雷真气石
七级抗性天雷石	七级抗性真气石,七级天雷真气石
八级抗性天雷石	八级抗性真气石,八级天雷真气石
九级抗性天雷石	九级抗性真气石,九级天雷真气石
十级抗性天雷石	十级抗性真气石,十级天雷真气石

五级抗性回天石	五级抗性真气石,五级回天真气石
六级抗性回天石	六级抗性真气石,六级回天真气石
七级抗性回天石	七级抗性真气石,七级回天真气石
八级抗性回天石	八级抗性真气石,八级回天真气石
九级抗性回天石	九级抗性真气石,九级回天真气石
十级抗性回天石	十级抗性真气石,十级回天真气石

五级抗性嗜血石	五级抗性真气石,五级嗜血真气石
六级抗性嗜血石	六级抗性真气石,六级嗜血真气石
七级抗性嗜血石	七级抗性真气石,七级嗜血真气石
八级抗性嗜血石	八级抗性真气石,八级嗜血真气石
九级抗性嗜血石	九级抗性真气石,九级嗜血真气石
十级抗性嗜血石	十级抗性真气石,十级嗜血真气石

五级抗性复仇石	五级抗性真气石,五级复仇真气石
六级抗性复仇石	六级抗性真气石,六级复仇真气石
七级抗性复仇石	七级抗性真气石,七级复仇真气石
八级抗性复仇石	八级抗性真气石,八级复仇真气石
九级抗性复仇石	九级抗性真气石,九级复仇真气石
十级抗性复仇石	十级抗性真气石,十级复仇真气石

五级抗性毁灭石	五级抗性真气石,五级毁灭真气石
六级抗性毁灭石	六级抗性真气石,六级毁灭真气石
七级抗性毁灭石	七级抗性真气石,七级毁灭真气石
八级抗性毁灭石	八级抗性真气石,八级毁灭真气石
九级抗性毁灭石	九级抗性真气石,九级毁灭真气石
十级抗性毁灭石	十级抗性真气石,十级毁灭真气石

五级抗性刃扇石	五级抗性真气石,五级刃扇真气石
六级抗性刃扇石	六级抗性真气石,六级刃扇真气石
七级抗性刃扇石	七级抗性真气石,七级刃扇真气石
八级抗性刃扇石	八级抗性真气石,八级刃扇真气石
九级抗性刃扇石	九级抗性真气石,九级刃扇真气石
十级抗性刃扇石	十级抗性真气石,十级刃扇真气石

;--------------------------------
五级内力神圣石	五级内力真气石,五级神圣真气石
六级内力神圣石	六级内力真气石,六级神圣真气石
七级内力神圣石	七级内力真气石,七级神圣真气石
